Time/s,Satellite number,Measured Doppler/Hz,Sat_position_x/m,Sat_position_y/m,Sat_position_z/m,Sat_velocity_x/(m/s),Sat_velocity_y/(m/s),Sat_velocity_z/(m/s),Predicted Doppler/Hz,User_latitude,User_longitude,User_height
377.4342622,25,15514.81379,-1851977.419,6125946.142,3197673.954,-1021.238302,3179.028796,-6657.856551,15517.84081,22.3045966,114.180121,61.384
382.85072,54,1331.465165,-4747853.95,4430456.285,3002755.396,-2322.517421,2107.344273,-6756.073868,1334.662117,,,
383.4237001,35,30529.97519,-1388161.192,5475424.839,4387415.619,-1300.563688,4388.805682,-5871.757021,30536.63175,,,
383.4237187,35,30527.46035,-1388162.63,5475429.713,4387409.099,-1300.561304,4388.799311,-5871.762336,30536.58872,,,
383.4956986,35,30364.23374,-1393759.515,5494330.469,4362005.548,-1291.299833,4363.965051,-5892.374655,30366.34727,,,
383.4957175,35,30371.21278,-1393760.978,5494335.405,4361998.882,-1291.297408,4363.958533,-5892.380039,30366.30189,,,
383.5676976,35,30198.47943,-1399317.83,5513128.716,4336506.493,-1282.025436,4339.029984,-5912.872654,30189.77789,,,
383.5677175,35,30189.50744,-1399319.367,5513133.883,4336499.448,-1282.022885,4339.023092,-5912.878291,30189.72839,,,
383.6397175,35,30008.98402,-1404837.668,5531824.438,4310911.721,-1272.738133,4313.99388,-5933.25634,30006.63464,,,
383.7117175,35,29816.65342,-1410315.821,5550406.668,4285236.221,-1263.443387,4288.871402,-5953.513768,29816.77525,,,
383.7837175,35,29610.11514,-1415753.816,5568880.164,4259473.47,-1254.138918,4263.656153,-5973.650158,29619.89612,,,
383.855692,35,29417.39593,-1421149.691,5587238.047,4233633.16,-1244.828261,4238.35762,-5993.658029,29415.80704,,,
383.9276972,35,29204.29055,-1426507.608,5605494.238,4207695.639,-1235.504389,4212.956552,-6013.552574,29204.07479,,,
384.4317175,35,27481.39146,-1462881.405,5730183.566,4023769.424,-1170.00125,4032.628353,-6149.363404,27485.42998,,,
384.5412008,35,27060.26028,-1470520.259,5756543.475,3983279.794,-1155.722607,3992.883603,-6178.05867,27050.75054,,,
384.6131789,35,26756.59817,-1475491.195,5773730.858,3956558.221,-1146.326599,3966.644537,-6196.765707,26751.66234,,,
384.6132039,35,26752.83806,-1475492.9,5773736.805,3956548.934,-1146.323328,3966.63542,-6196.772177,26751.55654,,,
